"FilePath","Encoding","EndsWithNewline","EOLType","Error"
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWKTDATE.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWKTSUBC.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWXTDATE.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWXTDTP.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWXTSBP.pli","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\CWXTSUBC.cbl","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\TSUBR01.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\TSUBR02.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\TSUBR03.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\TSUBR04.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Sources\Subs\TSUBR05.cbl","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Integration\Project.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Integration\Scenarios\DummyScenario1.scenario","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\.settings\org.eclipse.core.resources.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Project.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_CWXTDATE.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_CWXTSUBC.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_EMPFILE_EMPLOYEE_WORK_AREA.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_BLANK_LINE.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_EMPLOYEE_DTL.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_EMPLOYEE_HDR1.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_EMPLOYEE_HDR2.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_EMPLOYEE_HDR3.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_RPTFILE_EMP_TOTAL_DTL.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Interfaces\CWXTCOB_TODAYS_DATE.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Output\CWXTCOB_Test1.archive","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Output\CWXTCOB_Test1.log","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Output\CWXTCOB_Test1.sonar.xml","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Output\History\CWXTCOB_Test1.sysout.log","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Properties\LaunchConfiguration.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Scenarios\CWXTCOB_Test1.context","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Scenarios\CWXTCOB_Test1.testscenario","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTDATE_END-OF-MONTH-SW.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTDATE_RETURN-CODE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTDATE_TODAYS-DATE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTDATE_WA-EMP-HIRE-DATE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTDATE_YRS-OF-SERVICE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTSUBC_CALC-COMMISSION.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTSUBC_CALC-SALES.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTSUBC_EMP-TYPE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_CWXTSUBC_RETURN-CODE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_EMPFILE_EMPLOYEE-WORK-AREA.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_PARMINFO.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RETURN-CODE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_BLANK-LINE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_EMP-TOTAL-DTL.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_EMPLOYEE-DTL.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_EMPLOYEE-HDR1.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_EMPLOYEE-HDR2.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_RPTFILE_EMPLOYEE-HDR3.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Structures\CWXTCOB_TODAYS-DATE.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Stubs\CWXTCOB_CWXTDATE_01.stub","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Stubs\CWXTCOB_CWXTSUBC_01.stub","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Stubs\CWXTCOB_DATETIME_01.stub","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Stubs\CWXTCOB_EMPFILE_FILE_01.stub","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTCOB\Tests\Stubs\CWXTCOB_RPTFILE_FILE_01.stub","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\.settings\org.eclipse.core.resources.prefs","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Project.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Interfaces\CWXTDATE.interface","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Properties\LaunchConfiguration.properties","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Scenarios\CWXTDATE_Test1.context","UTF-8 (no BOM or ASCII)","True","CRLF",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Scenarios\CWXTDATE_Test1.testscenario","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Structures\CWXTDATE_EOM-SW.listructure","UTF-8 (no BOM or ASCII)","False","None",
"C:\Users\manosing\git\GITFLOW_GFLD_GHA\GenApp_MainframeCore\Tests\Unit\CWXTDATE\Tests\Structures\CWXTDATE_HIRE-DATE.listructure","UTF-8 (no BOM or ASCII)","False","None",
